date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:32:00	188260/188260	---M--	200	added ('OK')	font/woff2	etag:%220l1-5jgnjd004-lnk23k1-icv6kr%22	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/gotu/gotu-regular.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/gotu/gotu-regular.woff2	(from https://trace-it.nl/)
15:32:00	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:01%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/Heebo/Heebo-VariableFont_wght.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/Heebo/Heebo-VariableFont_wght.woff2	(from https://trace-it.nl/)
15:32:01	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:01%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/Hind/Hind-Variable.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/Hind/Hind-Variable.woff2	(from https://trace-it.nl/)
15:32:01	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:01%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Thin.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Thin.woff2	(from https://trace-it.nl/)
15:32:01	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:01%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-ExtraLight.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-ExtraLight.woff2	(from https://trace-it.nl/)
15:32:01	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:02%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Light.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Light.woff2	(from https://trace-it.nl/)
15:32:02	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:02%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Regular.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Regular.woff2	(from https://trace-it.nl/)
15:32:02	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:02%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Medium.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Medium.woff2	(from https://trace-it.nl/)
15:32:02	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:02%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-SemiBold.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-SemiBold.woff2	(from https://trace-it.nl/)
15:32:02	34/34	---M--	404	error ('Not%20Found')	text/plain	date:Thu,%2026%20Jun%202025%2013:32:03%20GMT	https://trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Bold.woff2	C:/Users/nisi/Documents/Websites/Trace-IT/trace-it.nl/wp-content/themes/extendable/assets/fonts/ibm-plex-sans/IBMPlexSans-Bold.woff2	(from https://trace-it.nl/)
